id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
11318,Simple animation in WinForms,<p>Imagine you want to animate some object on a WinForm. You setup a timer to update the state or model and override the paint event of the Form. But from there what's the best way to continually repaint the Form for the animation?</p> <ul> <li>Invalidate the Form as soon as you are done drawing?</li> <li>Setup a second timer and invalidate the form on a regular interval?</li> <li>Perhaps there is a common pattern for this thing?</li> <li>Are there any useful .NET classes to help out?</li> </ul> <p>Each time I need to do this I discover a new method with a new drawback. What are the experiences and recommendations from the SO community?</p>,11404,3,0,,8/14/2008 16:44:42,9,6/19/2012 9:20:50,,,,Chris Smith,322,,1,18,.net|winforms|animation,14991
520030,Why is there no Linq method to return distinct values by a predicate?,<p>I want to get the distinct values in a list but not by the standard equality comparison.</p> <p>What I want to do is something like this:</p> <pre><code>return myList.Distinct( (x y) =&gt; x.Url == y.Url ); </code></pre> <p>I can't there's no extension method in Linq that will do this - just one that takes an <code>IEqualityComparer</code>.</p> <p>I can hack around it with this:</p> <pre><code>return myList.GroupBy( x =&gt; x.Url ).Select( g =&gt; g.First() ); </code></pre> <p>But that seems messy. It also doesn't quite do the same thing - I can only use it here because I have a single key.</p> <p>I could also add my own:</p> <pre><code>public static IEnumerable&lt;T&gt; Distinct&lt;T&gt;( this IEnumerable&lt;T&gt; input Func&lt;TTbool&gt; compare ) { //write my own here } </code></pre> <p>But that does seem rather like writing something that should be there in the first place.</p> <p>Anyone know why this method isn't there?</p> <p>Am I missing something?</p>,520046,3,0,,2/6/2009 11:51:53,15,10/8/2010 18:29:27,,,,Keith,905,,1,42,c#|linq|distinct,10620
15301999,Python 2.x - default arguments with *args and **kwargs,<p>In <strong>Python 2.x</strong> (I use 2.7) which is the proper way to use default arguments with <code>*args</code> and <code>**kwargs</code>?<br> I've found a question on SO related to this topic but that is for <strong>Python 3</strong>:<br> <a href= http://stackoverflow.com/questions/9872824/calling-a-python-function-with-args-kwargs-and-optional-default-arguments >Calling a Python function with *args**kwargs and optional / default arguments</a></p> <p>There they say this method works:</p> <pre><code>def func(arg1 arg2 *args opt_arg='def_val' **kwargs): #... </code></pre> <p>In 2.7 it results in a <code>SyntaxError</code>. Is there any recommended way to define such a function?<br> I got it working this way but I'd guess there is a nicer solution.</p> <pre><code>def func(arg1 arg2 *args **kwargs): opt_arg ='def_val' if kwargs.__contains__('opt_arg'): opt_arg = kwargs['opt_arg'] #... </code></pre>,15302042,3,5,,3/8/2013 19:43:13,8,2/8/2016 17:38:04,,,,user1563285,,,1,31,python|python-2.7,7299
216694,Structuring a winforms C# solution,<p>So i am reorganizing a winforms C# solution to help decouple and make it cleaner and more organized. The solution tracks a small business ordersetc . .</p> <p>I have broken out the projects so far into</p> <p><strong>App.View</strong> - all GUI Related Code<br /> <strong>App.Data</strong> - just data structures and interfaces. No other implementation code<br /> <strong>App.BusinessLogic</strong> - all business logic code that has no GUI references</p> <p>I have some classes that i can't figure out where they belong. Please let me know your thoughts which project each class should go or if there is another project that should get created for this.</p> <ol> <li>A Class that retrieves user preferences from a database</li> <li>A Class that retrieves static data from our static data server and returns sets of data results.</li> <li>A Class that brings down user entitlements</li> <li>A model class that stores a hashtable of orders</li> <li>A class that emails out messages on a user action</li> </ol>,216736,4,0,,10/19/2008 17:20:19,5,10/20/2008 0:04:12,10/19/2008 17:26:12,akantro,4653,akantro,4653,,1,6,c#|winforms|model-view-controller|mvp|projects,2873
395321,Is it Possible to Make a Generic Control in .Net 3.5?,<p>I've got the following Generic usercontrol declared:</p> <pre><code>public partial class MessageBase&lt;T&gt; : UserControl { protected T myEntry; public MessageBase() { InitializeComponent(); } public MessageBase(T newEntry) { InitializeComponent(); myEntry = newEntry; } } } </code></pre> <p>But the compiler won't allow me to do this:</p> <pre><code>public partial class MessageControl : MessageBase&lt;Post&gt; { public MessageControl() { InitializeComponent(); } } </code></pre> <p>How do I create a generic user control in C#?</p>,395446,4,0,,12/27/2008 19:32:46,5,11/29/2010 12:57:57,11/29/2010 12:57:57,Roberto Bonini,16587,Roberto Bonini,5648,,1,9,c#|.net|winforms|generics|user-controls,5716
125632,Is it possible to link to a bookmark within a PDF using URL parameters?,<p>When providing a link to a PDF file on a website is it possible to include information in the URL (request parameters) which will make the PDF browser plugin (if used) jump to a particular bookmark instead of just opening at the beginning?</p> <p>Something like: <a href= http://www.somehost.com/user-guide.pdf?bookmark=chapter3 >http://www.somehost.com/user-guide.pdf?bookmark=chapter3</a> ?</p> <p>If not a bookmark would it be possible to go to a particular page?</p> <p>I'm assuming that if there is an answer it may be specific to Adobe's PDF reader plugin or something and may have version limitations but I'm mostly interested in whether the technique exists at all.</p>,125650,4,0,,9/24/2008 6:02:15,18,1/14/2016 1:03:12,7/17/2012 5:54:58,,11343,Chris Carruthers,1119,,1,64,url|pdf|hyperlink|bookmarks,66619
927806,SVN checkout the contents of a folder not the folder itself,<p>I'm fairly new to linux and svn. I'm trying to checkout the trunk folder of a project into my public_html directory using this command (while in public_html):</p> <pre><code>svn checkout file:///home/landonwinters/svn/waterproject/trunk </code></pre> <p>The waterproject directory contains the files from untarring a base install of drupal.</p> <p>It checks out fine except all the files are in <code>public_html/trunk</code> instead of just being in <code>public_html</code>.</p> <p>I don't know the command to move all the contents of trunk up to public_html and rm trunk but I think I could figure that out relatively easily. I just want to know if I can just check out the contents of a folder without the folder itself.</p>,927821,4,0,,5/29/2009 19:48:14,30,4/29/2016 19:58:24,9/13/2011 9:02:22,,400925,user114518,,,1,112,linux|svn|checkout,78376
335279,Windows/.NET way to monitor/debug the serial port?,<p>I have an application which is .NET 2.0 running on Windows XP Professional. This app uses the Serial Port to communicate with some custom devices.</p> <p>For some reason a few of our custom built PCs have an issue with the Serial Port where it will stop functioning after a few weeks of use. Other that auto-reboots which won't work in my scenario are there any utilities out there which can debug/diagnose the serial port? Is there any .NET library which can help with this (can I write my own utility to debug the port)?</p> <p>Also has anyone had any experience with the following library: <a href= http://www.sax.net/commstudio rel= nofollow >Sax CommStudio</a></p>,335545,4,0,,12/2/2008 20:19:15,4,9/8/2011 13:28:06,,,,pearcewg,24126,,1,4,.net|windows|serial-port|lockup,4336
421458,Anonymous users in Rails -- security considerations?,<p>I'm looking at implementing some form of anonymous user system in Rails. I need to let people do things (creating records looking at what they've created etc) without actually creating an account. Once they create an account everything persists without risk of losing it by clearing cookies or something.</p> <p>Right now I'm thinking it's pretty straightforward. Have an is_anonymous field in the User model and use something like this to access the currently logged in user:</p> <pre><code>def find_user session[:user_id] ||= create_new_anonymous_user.id end </code></pre> <p>Assuming the session persists for some reasonable period of time and the session cookie doesn't expire that should keep everything running smoothly.</p> <p>However there is this piece of me that is convinced that I'm missing something security-related. Has anyone done something like this before? Am I missing something super-obvious?</p> <p>Thanks!</p>,430559,4,0,,1/7/2009 18:29:37,6,10/13/2009 15:53:30,,,,Tim Sullivan,722,,1,7,ruby-on-rails|ruby|security|anonymous-users,1208
6513461,How do I get the Video Id from the URL? (DailyMotion),<p>Example: </p> <pre><code>http://www.dailymotion.com/video/x4xvnz_the-funny-crash-compilation_fun </code></pre> <p>How do I get <code>x4xvnz</code>?</p>,6513505,5,0,,6/28/2011 21:46:06,5,9/28/2015 20:35:16,6/28/2011 21:48:51,,218196,user317005,,,1,6,php|regex|preg-match,10301
366517,What is the best resource for learning the features and benefits of windbg?,<p>What is the best resource for learning the features and benefits of windbg? I want to be able to discuss investigate memory issues (handles objects) performance issues etc . . .</p>,366583,6,0,,12/14/2008 12:55:17,9,12/17/2008 22:16:44,12/14/2008 19:29:29,EndangeredMassa,106,ak,4653,,1,4,c#|debugging|windbg,442
586829,Change Color of Button in DataGridView Cell,<p>I have a large DataGridView control that has several cells most of which contain a button. How can I change the color of those buttons?</p> <p>This changes the outline of the button but not the button itself.</p> <pre><code>row.Cells[2].Style.BackColor = System.Drawing.Color.Red; </code></pre> <p>This doesn't seem to change anything that's visible:</p> <pre><code>row.Cells[2].Style.ForeColor = System.Drawing.Color.Red; </code></pre> <p>If it's not possible to change the background is it possible to change the font on the button?</p> <p>Using .NET 2.0.</p>,587365,6,0,,2/25/2009 16:51:32,4,8/2/2013 18:24:57,2/25/2009 17:20:28,Tomas Pajonk,4694,Dave,35229,,1,12,c#|.net|winforms|.net-2.0,28455
461836,Arduino C++ code: can you use virtual functions and exceptions?,<p>Following up on <a href= http://stackoverflow.com/questions/452139/writing-firmware-assembly-or-high-level#452401 >this comment</a> from the question <a href= http://stackoverflow.com/questions/452139/writing-firmware-assembly-or-high-level >Writing firmware: assembly or high level?</a>: </p> <p>When compiling C++ code for the <a href= http://arduino.cc rel= nofollow >Arduino</a> platform can you use virtual functions exceptions etc? Or would you want to (have to) use a subset of C++ (as described in <a href= http://stackoverflow.com/questions/452139/writing-firmware-assembly-or-high-level#452401 >the comment</a>)?</p> <p>Any other caveats when programming for the Arduino platform? </p>,727836,6,0,,1/20/2009 15:44:47,9,3/5/2013 13:22:40,3/5/2013 13:22:40,,4023,brulak,29505,,1,14,c++|arduino|virtual-functions|firmware,9739
333271,Good resources for learning Factor,<p>Having recently come across <a href= http://elasticdog.com/2008/11/beginning-factor-introduction/ >this introduction to Factor</a> I've been a bit curious to learn more. Aside from the official FAQ mentioned there do you have resources for learning the language (as well as the stack-based paradigm if that's the right word) that you've found helpful?</p> <p>As a side note would learning Forth help or is that like comparing C to Python (or what have you)?</p>,338226,6,0,,12/2/2008 7:38:08,18,12/14/2014 15:22:37,12/14/2014 15:22:37,J Cooper,847099,J Cooper,38803,,1,26,factor-lang,3466
267256,Combining multiple SVN repositories into one,<p>After considering the answers to my previous question (<a href= http://stackoverflow.com/questions/252459/one-svn-repository-or-many >One SVN Repository or many?</a>) I've decided to take the 4 or so repositories I have and consolidate them into one. This of course leads to the question <strong>what's the best way to do this?</strong></p> <p>Is there a way to combine two or more repositories maintaining the version history for both?</p> <p>Edit: <em>I should also point out that I'm using Assembla.com which does not provide access to the svnadmin command AFAIK</em></p> <p>Another edit: <em>Does this even matter? If svnadmin works on URLs then it's no problem then.</em></p>,267307,6,1,,11/6/2008 0:18:57,34,5/28/2015 20:31:31,11/6/2008 0:48:51,nickf,9021,nickf,9021,,1,49,svn,36842
490618,Multiple javascript/css files: best practices?,<p>I have about 7 Javascript files now (thanks to various jQuery plugins) and 4-5 CSS files. I'm curious as to what's the best practice for dealing with these including where in the document they should be loaded? YSlow tells me that Javascript files should be--where possible--included at the end. The end of the body? It mentions that the delimeter seems to be whether they write content. All my Javascript files are functions and jQuery code (all done when ready()) so that should be OK.</p> <p>So should I include one CSS and one Javascript file and have those include the rest? Should I concatenate all my files into one? Should I put Javascript my tags at the very end of my document?</p> <p><strong>Edit:</strong> FWIW yes this is PHP.</p>,490686,6,2,,1/29/2009 5:56:38,41,1/14/2012 16:17:27,1/14/2012 16:17:27,cletus,27637,cletus,18393,,1,52,php|javascript|jquery|html|css,18172
126430,Is it possible to change the natural order of columns in Postgres?,<p>Is it possible to change the natural order of columns in Postgres 8.1?</p> <p>I know that you shouldn't rely on column order - it's not <em>essential</em> to what I am doing - I only need it to make some auto-generated stuff come out in a way that is more pleasing so that the field order matches all the way from pgadmin through the back end and out to the front end.</p>,656841,6,0,,9/24/2008 10:39:12,4,3/20/2013 13:10:35,,,,rjmunro,3408,,1,15,postgresql,18296
310479,Good database library/ORM for cocoa development,<p>I am developing a cocoa application that will be making heavy use of both web services and a standard dbms (most likely MySQL) and I am wondering if anyone has a good option for a database library or ORM solution they have used. CoreData is not an option due to the need to support a standard DBMS and to be able to modify the data outside of the normal application operation.</p> <p>I have found a number of possible options from new open source libraries: <a href= http://github.com/aptiva/activerecord/tree/master >http://github.com/aptiva/activerecord/tree/master</a></p> <p>To writing my own wrapper for the C MySQL api.</p> <p>Any advice is welcome</p> <p>Thanks!</p> <p>Paul</p>,468461,6,1,,11/21/2008 22:53:24,4,1/22/2009 8:54:41,,,,paulsnotes,39819,,1,5,objective-c|database|cocoa,6180
596315,Uploading files to Sharepoint (WSS 3.0) document library using HTTP PUT,<p>Hi I have the following piece of code to upload a file to Sharepoint. It uses HTTP PUT:</p> <pre><code>public static string UploadFile(string destUrl string sourcePath) { try { Uri destUri = new Uri(destUrl); FileStream inStream = File.OpenRead(sourcePath); WebRequest req = WebRequest.Create(destUri); req.Method = PUT ; req.Headers.Add( Overwrite  F ); req.Timeout = System.Threading.Timeout.Infinite; req.Credentials = CredentialCache.DefaultCredentials; Stream outStream = req.GetRequestStream(); string status = CopyStream(inStream outStream); if (status == success ) { outStream.Close(); WebResponse ores = req.GetResponse(); return success ; } else { return status; } } catch (WebException we) { return we.Message; } catch (System.Exception ee) { return ee.Message; } } </code></pre> <p>When I run this code I get the exception: </p> <blockquote> <p> The remote server returned an error: (409) Conflict. </p> </blockquote> <p>Does anyone have any ideas as to where I am going wrong?</p> <p>Thanks</p> <p>Alex</p>,2663918,6,4,,2/27/2009 19:46:50,8,12/1/2011 2:41:52,,,,tarbot2009,70772,,1,9,c#|sharepoint|http|upload,21545
368913,What's a good way to serialize Delphi object tree to XML--using RTTI and not custom code?,<p>What's a good way to serialize a Delphi object tree to XML--using RTTI and not custom code?</p> <p>I would have loved to find that this feature is already built into Delphi but it doesn't seem to be.</p> <p>I've found a few components (posted below) that seem like they might perform this function. Have you used any of them or some other offering? Have you built your own? Am I missing something obvious in Delphi?</p>,368972,7,0,,12/15/2008 16:29:22,11,10/1/2015 11:49:58,10/1/2015 11:49:58,Mattias Andersson,650492,Mattias Andersson,32841,,1,11,xml|delphi|serialization|xml-serialization|rtti,8916
491490,How to use jQuery in Firefox Extension,<p>I want to use jQuery inside a firefox extension I imported the library in the xul file like this:</p> <pre><code>&lt;script type= application/x-javascript src= chrome://myExtension/content/jquery.js &gt; &lt;/script&gt; </code></pre> <p>but the $() function is not recognized in the xul file neither do the jQuery().</p> <p>I googled about the problem and found some solutions but no one did work with me: <a href= http://gluei.com/blog/view/using-jquery-inside-your-firefox-extension >http://gluei.com/blog/view/using-jquery-inside-your-firefox-extension</a> <a href= http://forums.mozillazine.org/viewtopic.php?f=19&amp;t=989465 >http://forums.mozillazine.org/viewtopic.php?f=19&amp;t=989465</a></p> <p>I've also tried to pass the 'content.document' object(which refrences the 'document' object) as the context parameter to the jQuery function like this:</p> <pre><code>$('img'content.document); </code></pre> <p>but still not working does any one came across this problem before?</p>,496970,7,2,,1/29/2009 12:52:45,35,5/21/2014 7:34:01,10/6/2009 0:14:26,,41153,user434917,,,1,54,javascript|jquery|firefox|firefox-addon,30320
392349,Modify bound variables of a closure in Python,<p>Is there any way to modify the bound value of one of the variables inside a closure? Look at the example to understand it better.</p> <pre><code>def foo(): var_a = 2 var_b = 3 def _closure(x): return var_a + var_b + x return _closure localClosure = foo() # Local closure is now return 2 + 3 + x a = localClosure(1) # 2 + 3 + 1 == 6 # DO SOME MAGIC HERE TO TURN var_a of the closure into 0 # ...but what magic? Is this even possible? # Local closure is now return 0 + 3 + x b = localClosure(1) # 0 + 3 +1 == 4 </code></pre>,392366,7,0,,12/24/2008 23:38:31,4,1/9/2012 17:26:00,,,,Tanoku,4381,,1,20,python|functional-programming|closures,5616
165404,Resources for 2d game physics,<p>I'm looking for some good references for learning how to model 2d physics in games. I am <strong>not</strong> looking for a library to do it for me - I want to think and learn not blindly use someone else's work.</p> <p>I've done a good bit of Googling and while I've found a few tutorials on GameDev etc. I find their tutorials hard to understand because they are either written poorly or assume a level of mathematical understanding that I don't yet possess.</p> <p>For specifics - I'm looking for how to model a top-down 2d game sort of like a tank combat game - and I want to accurately model (among other things) acceleration and speed heat buildup of 'components' collisions between models and level boundaries and missile-type weapons.</p> <p>Websites recommended books blogs code examples - all are welcome if they will aid understanding. I'm considering using C# and F# to build my game so code examples in either of those languages would be great - but don't let language stop you from posting a good link. =)</p> <p><strong>Edit</strong>: I don't mean that I don't understand math - it's more the case that I don't know what I need to know in order to understand the systems involved and don't really know how to find the resources that will teach me in an understandable way.</p>,165980,8,5,,10/3/2008 2:13:12,42,4/22/2011 8:29:25,10/3/2008 2:41:00,Erik,16942,Erik,16942,,1,42,c#|f#|2d|physics,11636
340528,C# Automatic Properties - Why Do I Have To Write get; set; ?,<p>If both get and set are compulsory in C# automatic properties why do I have to bother specifying get; set; at all?</p>,340682,9,0,,12/4/2008 13:10:51,7,2/14/2016 20:48:45,12/19/2008 10:54:11,AnthonyWJones,17516,sasserstyl,38522,,1,39,c#|c#-3.0|automatic-properties,32443
714108,Cartesian product of arbitrary sets in Java,<p>Do you know some neat Java libaries that allow you to make cartesian product of two (or more) sets? </p> <p>For example: I have three sets. One with objects of class Person second with objects of class Gift and third with objects of class GiftExtension.</p> <p>I want to generate one set containing all possible triples Person-Gift-GiftExtension.</p> <p>The number of sets might vary so I cannot do this in nested foreach loop. Under some conditions my application needs to make a product of Person-Gift pair sometimes it is triple Person-Gift-GiftExtension sometimes there might even be sets Person-Gift-GiftExtension-GiftSecondExtension-GiftThirdExtension etc. </p>,714256,9,5,,4/3/2009 14:17:41,11,5/22/2016 19:05:53,4/21/2012 19:44:09,michael lucas,416926,michael lucas,59666,,1,25,java|cartesian-product,18998
473282,How can I pad an integers with zeros on the left?,<p>How do you left pad an int with zeros in java when converting to a string?</p> <p>I'm basically looking to pad out integers up to 9999 with the leading zeros (e.g. 1 = 0001 ).</p>,473309,10,5,,1/23/2009 15:21:25,84,5/10/2016 17:44:32,8/13/2014 3:07:09,,2371861,Omar Kooheji,20400,,1,565,java|zero-pad,353039
61487,Do you use UML in Agile development practices?,<p>It feels like an artifacts of an earlier days but UML sure does have its use. However agile processes like Extreme Programming advocates embracing changes  does that also means I should make less documents and UML models as well? Since they gives the impression of setting something in stone.</p> <p>Where does UML belongs in an Agile development practice? Other than the preliminary spec documents should I use it at all?</p> <p><strong>EDIT:</strong> Found this: <a href= http://www.agilemodeling.com/artifacts/ >Potential artifacts for agile modeling</a></p>,61519,11,0,,9/14/2008 17:28:30,14,5/21/2016 5:59:11,9/14/2008 17:51:14,chakrit,3055,chakrit,3055,,1,36,documentation|uml|agile,14971
221732,DateTime null value,<p>I've been searching a lot but couldn't find a solution. How do you deal with a DateTime that should be able to contain an uninitialized value (equivalent to null)? I have a class which might have a DateTime property value set or not. I was thinking of initializing the property holder to DateTime.MinValue which then could easily be checked. I guess this is a quite common question how do you do that?</p>,221740,12,0,,10/21/2008 12:54:33,20,1/28/2016 7:45:59,,,,Matthias,16440,,1,156,c#|datetime|null,218943
180401,Placement of the asterisk in pointer declarations,<p>I've recently decided that I just have to finally learn C/C++ and there is one thing I do not really understand about pointers or more precisely their definition.</p> <p>How about these examples:</p> <ol> <li><code>int* test;</code></li> <li><code>int *test;</code></li> <li><code>int * test;</code></li> <li><code>int* testtest2;</code></li> <li><code>int *testtest2;</code></li> <li><code>int * testtest2;</code></li> </ol> <p>Now to my understanding the first three cases are all doing the same: Test is not an int but a pointer to one.</p> <p>The second set of examples is a bit more tricky. In case 4 both test and test2 will be pointers to an int whereas in case 5 only test is a pointer whereas test2 is a real int. What about case 6? Same as case 5?</p>,180409,13,3,,10/7/2008 21:02:43,8,2/1/2016 15:12:22,1/1/2016 20:19:38,Milan Babuskov,63550,Michael Stum,91,,1,42,c++|c|pointers|declaration,16721
51438,Getting A File's Mime Type In Java,<p>I was just wondering how most people fetch a mime type from a file in Java? So far I've tried two utils: <code>JMimeMagic</code> &amp; <code>Mime-Util</code>. </p> <p>The first gave me memory exceptions the second doesn't close its streams off properly. I was just wondering if anyone else had a method/library that they used and worked correctly?</p>,8973468,13,3,,9/9/2008 9:11:07,77,5/26/2016 12:35:24,8/27/2014 6:53:03,,3154233,Lee Theobald,1900,,1,224,java|mime,212683
121018,Is it possible to develop for the iPhone without an iPhone?,<p>I know there are emulators but is this good enough? If someone is serious about iPhone development do they absolutely need an iPhone?</p>,121034,18,1,,9/23/2008 13:33:19,4,9/24/2015 15:34:23,,,,Brian R. Bondy,3153,,1,16,iphone|emulator|mobile-phones,6375
352654,Could not find default endpoint element,<p>I've added a proxy to a webservice to a VS2008/.NET 3.5 solution. When constructing the client .NET throws this error:</p> <blockquote> <p>Could not find default endpoint element that references contract 'IMySOAPWebService' in the service model client configuaration section. This might be because no configuaration file was found for your application or because no end point element matching this contract could be found in the client element</p> </blockquote> <p>Searching for this error tells me to use the full namespace in the contract. Here's my app.config with full namespace:</p> <pre><code>&lt;client&gt; &lt;endpoint address= http://192.168.100.87:7001/soap/IMySOAPWebService binding= basicHttpBinding bindingConfiguration= IMySOAPWebServicebinding contract= Fusion.DataExchange.Workflows.IMySOAPWebService name= IMySOAPWebServicePort /&gt; &lt;/client&gt; </code></pre> <p>I'm running XP local (I mention this because a number of Google hits mention win2k3) The app.config is copied to app.exe.config so that is also not the problem.</p> <p>Any clues?</p>,356011,28,2,,12/9/2008 13:06:42,88,5/31/2016 17:35:59,9/29/2009 6:40:15,,6399,Edoode,6399,,1,272,wcf|.net-3.5|wcf-binding|endpoint,222979
